35:train {'center': 0.5964595233715438, 'dim': 1.2549946214023389, 'loss': 0.721958988815322}, val :{'center': 0.7939031744733431, 'dim': 1.4387732549007668, 'loss': 0.9377805021205957}
36:train {'center': 0.5887812680767891, 'dim': 1.2581766488472705, 'loss': 0.7145989355256043}, val :{'center': 1.0068764212495536, 'dim': 1.4727430031473336, 'loss': 1.1541507238590318}
37:train {'center': 0.5944108787591936, 'dim': 1.229377208603696, 'loss': 0.717348599760412}, val :{'center': 0.7897858689258666, 'dim': 1.4484941765019888, 'loss': 0.9346352880833252}
38:train {'center': 0.5941688838693945, 'dim': 1.2381505908566566, 'loss': 0.717983946012119}, val :{'center': 0.7141767870520588, 'dim': 1.39200210781455, 'loss': 0.8533769994020098}
39:train {'center': 0.5623812637702991, 'dim': 1.1991369388797486, 'loss': 0.6822949597966146}, val :{'center': 0.6959374527827406, 'dim': 1.4100562173186684, 'loss': 0.8369430772346876}
40:train {'center': 0.5797511182653404, 'dim': 1.2220695023249863, 'loss': 0.7019580699479413}, val :{'center': 0.7253674202778144, 'dim': 1.4115435857189502, 'loss': 0.8665217805325702}
41:train {'center': 0.5851635877863293, 'dim': 1.2249699806040264, 'loss': 0.7076605880747036}, val :{'center': 0.6670749856946866, 'dim': 1.4338883794854247, 'loss': 0.8104638263156643}
42:train {'center': 0.5658529862425381, 'dim': 1.2214737583179862, 'loss': 0.6880003662998003}, val :{'center': 0.7102737005553927, 'dim': 1.4267834270610233, 'loss': 0.8529520451028132}
43:train {'center': 0.5639345197749317, 'dim': 1.19549293459166, 'loss': 0.6834838156349293}, val :{'center': 0.682816579087409, 'dim': 1.415419486036075, 'loss': 0.8243585304295591}
44:train {'center': 0.5565056829572236, 'dim': 1.186364937289573, 'loss': 0.6751421780258449}, val :{'center': 0.6881377059916478, 'dim': 1.4437422575853098, 'loss': 0.8325119338956154}
45:train {'center': 0.5509744716366046, 'dim': 1.2046744754952083, 'loss': 0.6714419213100612}, val :{'center': 0.7018194917927946, 'dim': 1.3992030069171413, 'loss': 0.8417397948575073}
46:train {'center': 0.5395156879670254, 'dim': 1.1762880757851195, 'loss': 0.6571444959952931}, val :{'center': 0.6673525492270126, 'dim': 1.4069896016787324, 'loss': 0.8080515120313491}
47:train {'center': 0.5489964283178496, 'dim': 1.1727082509103317, 'loss': 0.6662672556592621}, val :{'center': 0.6192012136659476, 'dim': 1.3713544450912292, 'loss': 0.7563366606801264}
48:train {'center': 0.5439026410162257, 'dim': 1.17989891095269, 'loss': 0.6618925341986176}, val :{'center': 0.6376155817577095, 'dim': 1.414163918047134, 'loss': 0.779031975630123}
49:train {'center': 0.5343918580117722, 'dim': 1.1803502982720397, 'loss': 0.6524268886200467}, val :{'center': 0.8083983257117613, 'dim': 1.4370394923085685, 'loss': 0.9521022764721072}
50:train {'center': 0.5371074236201164, 'dim': 1.1738418896395462, 'loss': 0.6544916139861566}, val :{'center': 0.8366876152246877, 'dim': 1.396963842034461, 'loss': 0.9763840005278769}
51:train {'center': 0.5044620073571497, 'dim': 1.1220534488670808, 'loss': 0.6166673547855381}, val :{'center': 0.6872810383632383, 'dim': 1.3598194324974284, 'loss': 0.8232629837040464}
52:train {'center': 0.48905503884293977, 'dim': 1.1125998239640134, 'loss': 0.6003150226574323}, val :{'center': 0.6279548062099147, 'dim': 1.367399303911905, 'loss': 0.7646947392994452}
53:train {'center': 0.47672132850813687, 'dim': 1.1093235968519102, 'loss': 0.5876536904709168}, val :{'center': 0.62903126517259, 'dim': 1.3434849521364804, 'loss': 0.763379762338116}
54:train {'center': 0.46811892233876995, 'dim': 1.102470848473263, 'loss': 0.5783660091083621}, val :{'center': 0.6087777015665542, 'dim': 1.3421241525969492, 'loss': 0.7429901180433003}
55:train {'center': 0.4707845097645781, 'dim': 1.103967247856931, 'loss': 0.5811812347231311}, val :{'center': 0.6067505136831047, 'dim': 1.3464286679094077, 'loss': 0.7413933823224621}
56:train {'center': 0.48053942651965054, 'dim': 1.0922460911993566, 'loss': 0.5897640378307452}, val :{'center': 0.6472095214825996, 'dim': 1.3252761129517017, 'loss': 0.7797371357472407}
57:train {'center': 0.4739293242803706, 'dim': 1.094999195041513, 'loss': 0.5834292460845185}, val :{'center': 0.6295242027171034, 'dim': 1.3571122249406649, 'loss': 0.7652354264245709}
58:train {'center': 0.46989068298107445, 'dim': 1.0890879017069823, 'loss': 0.5787994749403922}, val :{'center': 0.6195903649373671, 'dim': 1.326985015847839, 'loss': 0.7522888682477257}
59:train {'center': 0.46488018101831513, 'dim': 1.091843062709661, 'loss': 0.5740644895620685}, val :{'center': 0.6769891444226912, 'dim': 1.3438767339176116, 'loss': 0.8113768202252686}
60:train {'center': 0.45773245639114707, 'dim': 1.0692578779511497, 'loss': 0.5646582452618346}, val :{'center': 0.5867436475802098, 'dim': 1.3271269424826029, 'loss': 0.7194563426696986}
61:train {'center': 0.45856987926648846, 'dim': 1.072013388963058, 'loss': 0.5657712213302913}, val :{'center': 0.5795818630900129, 'dim': 1.3501511048510428, 'loss': 0.7145969758713795}
62:train {'center': 0.4646897820633797, 'dim': 1.074735203439772, 'loss': 0.5721633034477173}, val :{'center': 0.5414597624275571, 'dim': 1.3400543989452123, 'loss': 0.6754652039728413}
63:train {'center': 0.46513826640925016, 'dim': 1.0795254847544988, 'loss': 0.57309081641483}, val :{'center': 0.7768468643774955, 'dim': 1.3425457756042602, 'loss': 0.9111014439416468}
64:train {'center': 0.4480398709852765, 'dim': 1.079984810247329, 'loss': 0.5560383539162697}, val :{'center': 0.7364757681433629, 'dim': 1.3208757333669479, 'loss': 0.8685633435931188}
65:train {'center': 0.44954357350647256, 'dim': 1.069710747383847, 'loss': 0.5565146505512562}, val :{'center': 0.805005756243281, 'dim': 1.30677739267028, 'loss': 0.9356834977152215}
66:train {'center': 0.4441755184569625, 'dim': 1.0623004754042906, 'loss': 0.5504055674618988}, val :{'center': 0.6655936594695347, 'dim': 1.3160186447034687, 'loss': 0.7971955256084823}
67:train {'center': 0.435180826822874, 'dim': 1.066487385302174, 'loss': 0.5418295683109159}, val :{'center': 0.9182850652518032, 'dim': 1.3234089985876003, 'loss': 1.0506259672227631}
68:train {'center': 0.44509707763390943, 'dim': 1.065327485189018, 'loss': 0.551629827514883}, val :{'center': 0.7573273440000322, 'dim': 1.335788640367286, 'loss': 0.8909062100571851}
69:train {'center': 0.441921272448131, 'dim': 1.0479911704068536, 'loss': 0.5467203913934761}, val :{'center': 0.6965508470964823, 'dim': 1.3109997609029536, 'loss': 0.827650824965793}
70:train {'center': 0.44489349229571384, 'dim': 1.0581824077827462, 'loss': 0.550711734738565}, val :{'center': 0.8488781402210439, 'dim': 1.3244664910161075, 'loss': 0.9813247910073547}
71:train {'center': 0.4340164534563537, 'dim': 1.0605744120897975, 'loss': 0.540073897845635}, val :{'center': 0.7947167347276016, 'dim': 1.3170885117704347, 'loss': 0.9264255881691882}
72:train {'center': 0.4505232053575787, 'dim': 1.0523490583089958, 'loss': 0.555758111458972}, val :{'center': 0.6568108225674785, 'dim': 1.3179255444993112, 'loss': 0.7886033796380983}
73:train {'center': 0.431588488701975, 'dim': 1.0634310673182044, 'loss': 0.5379315968903}, val :{'center': 0.853223103183138, 'dim': 1.3439423968976358, 'loss': 0.9876173461823999}
74:train {'center': 0.429006169741187, 'dim': 1.0528360244795023, 'loss': 0.5342897747820353}, val :{'center': 0.7784502170485448, 'dim': 1.3024511997383543, 'loss': 0.9086953422558168}
75:train {'center': 0.4339256002442665, 'dim': 1.04354772896823, 'loss': 0.5382803738533363}, val :{'center': 0.5800661388455908, 'dim': 1.3205997371272535, 'loss': 0.7121261144496076}
76:train {'center': 0.42381700733326433, 'dim': 1.0380058311622202, 'loss': 0.527617592544612}, val :{'center': 0.6330576922150447, 'dim': 1.3056349070778062, 'loss': 0.7636211855414634}
77:train {'center': 0.4219235740241892, 'dim': 1.0369692618941646, 'loss': 0.5256205013884125}, val :{'center': 0.5467968000510303, 'dim': 1.3087920647604154, 'loss': 0.6776760079499162}
78:train {'center': 0.42997340909200377, 'dim': 1.0409411515252291, 'loss': 0.5340675261875997}, val :{'center': 0.5359679903407414, 'dim': 1.3250413117753619, 'loss': 0.6684721240589552}
79:train {'center': 0.4332937247306909, 'dim': 1.0441048261814547, 'loss': 0.5377042083075684}, val :{'center': 0.5222846126175507, 'dim': 1.331962095482179, 'loss': 0.6554808243813857}
80:train {'center': 0.4349329651170335, 'dim': 1.0435324983489245, 'loss': 0.5392862169270101}, val :{'center': 0.5756302524723212, 'dim': 1.3263291682068734, 'loss': 0.7082631707037509}
81:train {'center': 0.4278869287027836, 'dim': 1.0281736474288137, 'loss': 0.5307042951646604}, val :{'center': 0.5475443374672381, 'dim': 1.3056397295357574, 'loss': 0.6781083127709615}
82:train {'center': 0.42403170313570093, 'dim': 1.040349134120982, 'loss': 0.5280666171576104}, val :{'center': 0.5804526320159679, 'dim': 1.3199136203447694, 'loss': 0.7124439961307235}
83:train {'center': 0.4322672773764802, 'dim': 1.0233876150097423, 'loss': 0.5346060406124553}, val :{'center': 0.5592125753292071, 'dim': 1.3267525256300965, 'loss': 0.6918878292340563}
84:train {'center': 0.42191668643859226, 'dim': 1.0323642480130097, 'loss': 0.525153111822495}, val :{'center': 0.5753030198450177, 'dim': 1.2985798977269996, 'loss': 0.705161011038439}
85:train {'center': 0.4223562425320566, 'dim': 1.041685671094409, 'loss': 0.5265248112948702}, val :{'center': 0.5696148843683371, 'dim': 1.3166382343051475, 'loss': 0.7012787096333617}
86:train {'center': 0.4228863497009595, 'dim': 1.033954248968692, 'loss': 0.5262817771331068}, val :{'center': 0.5561355246203354, 'dim': 1.3126225161217253, 'loss': 0.6873977781546007}
87:train {'center': 0.4170895270707144, 'dim': 1.0380459036017846, 'loss': 0.5208941194539936}, val :{'center': 0.5880579467972792, 'dim': 1.2921845018969682, 'loss': 0.7172763983562569}
88:train {'center': 0.41742207339607684, 'dim': 1.032827366755677, 'loss': 0.5207048120451281}, val :{'center': 0.5311024267288609, 'dim': 1.3125493362561111, 'loss': 0.6623573626058433}
89:train {'center': 0.4010141671392126, 'dim': 1.010841667972241, 'loss': 0.5020983354233517}, val :{'center': 0.5733192877210002, 'dim': 1.3016645695951068, 'loss': 0.7034857468143216}
90:train {'center': 0.4098813397495754, 'dim': 1.0209506186711672, 'loss': 0.5119764027610886}, val :{'center': 0.5455786329100816, 'dim': 1.2968346411089708, 'loss': 0.6752620991706838}
