35:train {'center': 0.6102107491580172, 'dim': 1.276712070957484, 'loss': 0.7378819585418518}, val :{'center': 0.6759749502324699, 'dim': 1.2955281522743363, 'loss': 0.8055277668130849}
36:train {'center': 0.5819610559780172, 'dim': 1.2508188185215912, 'loss': 0.7070429387454108}, val :{'center': 0.7879361733528887, 'dim': 1.3303243983360284, 'loss': 0.9209686150298287}
37:train {'center': 0.5744088412818433, 'dim': 1.2324587247422012, 'loss': 0.6976547146255362}, val :{'center': 0.7762842357703825, 'dim': 1.320159983999906, 'loss': 0.9083002359471296}
38:train {'center': 0.5497700480490408, 'dim': 1.225627871712888, 'loss': 0.672332837062239}, val :{'center': 0.6731806460548404, 'dim': 1.383955998715205, 'loss': 0.8115762473088449}
39:train {'center': 0.5680070969628281, 'dim': 1.237034250815862, 'loss': 0.6917105237032768}, val :{'center': 0.7516236078380266, 'dim': 1.295400835104226, 'loss': 0.8811636926915476}
40:train {'center': 0.5377822158833154, 'dim': 1.2129052814503778, 'loss': 0.6590727451552356}, val :{'center': 0.6594744627202134, 'dim': 1.322449918816164, 'loss': 0.7917194565521493}
41:train {'center': 0.5456840082173613, 'dim': 1.1911308441647184, 'loss': 0.6647970946416287}, val :{'center': 0.6582383321810497, 'dim': 1.2825052488711348, 'loss': 0.7864888594767235}
42:train {'center': 0.5271052229370128, 'dim': 1.2004854179160838, 'loss': 0.6471537670796297}, val :{'center': 0.7025393375707601, 'dim': 1.3174575890586042, 'loss': 0.834285099822826}
43:train {'center': 0.5282492252377768, 'dim': 1.2036555669129239, 'loss': 0.6486147847491354}, val :{'center': 0.6550317131871449, 'dim': 1.331512401828941, 'loss': 0.7881829557992261}
44:train {'center': 0.519939732185481, 'dim': 1.1842552434917604, 'loss': 0.6383652581248769}, val :{'center': 0.6304253314875715, 'dim': 1.3569054155360634, 'loss': 0.7661158751256557}
45:train {'center': 0.5032863039487612, 'dim': 1.1784399164386536, 'loss': 0.6211302970856027}, val :{'center': 0.5817409453307831, 'dim': 1.3242264195257005, 'loss': 0.7141635887624525}
46:train {'center': 0.5138639409288106, 'dim': 1.1718114677409064, 'loss': 0.6310450907174547}, val :{'center': 0.6507830135481681, 'dim': 1.352240791507974, 'loss': 0.786007095073813}
47:train {'center': 0.5127768911521403, 'dim': 1.1622568064596281, 'loss': 0.6290025731080324}, val :{'center': 0.6057181776073909, 'dim': 1.3288146113772399, 'loss': 0.7385996401480489}
48:train {'center': 0.4829757647184859, 'dim': 1.1488994313064327, 'loss': 0.5978657113041392}, val :{'center': 0.6493533753820879, 'dim': 1.3004345666758494, 'loss': 0.7793968338873628}
49:train {'center': 0.5167068018222267, 'dim': 1.1743212318237364, 'loss': 0.6341389294091662}, val :{'center': 0.6390796702360352, 'dim': 1.3130980201534987, 'loss': 0.7703894741999788}
50:train {'center': 0.5119842734194991, 'dim': 1.1698139408270822, 'loss': 0.628965667650933}, val :{'center': 0.6830692771428958, 'dim': 1.3363275216518824, 'loss': 0.8167020319552769}
51:train {'center': 0.47452579455847016, 'dim': 1.118872444597636, 'loss': 0.5864130405569717}, val :{'center': 0.5854047993893532, 'dim': 1.2677438312495344, 'loss': 0.7121791842503367}
